size,omega0
533,184.768
534,185.728
535,186.156
536,186.462
537,186.564
538,187.024
539,187.58
540,187.994
541,188.422
542,189.22
543,189.6
544,189.528
545,190.094
546,190.67
547,191.128
548,191.566
549,192.224
550,192.614
551,192.924
552,193.28
553,194.17
554,194.61
555,194.896
556,195.196
557,195.634
558,196.146
559,196.664
560,197.092
561,197.556
562,197.686
563,198.508
564,198.924
565,199.188
566,199.66
567,200.018
568,200.806
569,201.226
570,201.134
571,202.128
572,202.172
573,202.568
574,203.05
575,203.504
576,203.986
577,204.464
578,205.054
579,205.474
580,205.806
581,206.082
582,206.66
583,206.66
584,207.328
585,207.984
586,208.244
587,208.56
588,209.064
589,209.946
590,210.36
591,210.456
592,211.06
593,211.41
594,212.028
595,212.716
596,213.002
597,213.514
598,213.9
599,214.152
600,214.81
601,214.8
602,215.806
603,216.022
604,216.576
605,217.062
606,217.494
607,218.052
608,218.032
609,218.714
610,219.392
611,219.99
612,220.0
613,220.566
614,221.182
615,221.092
616,221.982
617,222.228
618,222.534
619,223.134
620,223.346
621,224.146
622,224.542
623,225.094
624,225.182
625,225.746
626,226.468
627,226.864
628,227.274
629,227.766
630,228.292
631,228.516
632,229.102
633,229.502
634,230.024
635,230.588
636,230.912
637,231.486
638,231.602
639,232.114
640,232.52
641,232.94
642,233.746
643,233.738
644,234.63
645,235.074
646,235.16
647,235.452
648,236.14
649,236.572
650,237.274
651,237.78
652,237.936
653,238.668
654,238.912
655,239.706
656,239.994
657,240.144
658,240.736
659,241.042
660,241.596
661,242.21
662,242.534
663,242.592
664,243.188
665,243.982
666,244.326
667,244.816
668,245.102
669,245.682
670,245.976
671,246.874
672,247.076
673,247.538
674,248.24
675,248.264
676,248.778
677,249.39
678,249.876
679,250.428
680,250.618
681,251.412
682,252.032
683,252.146
684,252.712
685,253.182
686,253.246
687,253.85
688,254.176
689,254.646
690,255.552
691,255.92
692,256.544
693,256.59
694,256.806
695,257.346
696,258.198
697,258.692
698,258.708
699,259.044
700,259.534
701,259.97
702,261.142
703,261.948
704,261.584
705,261.944
706,262.664
707,262.884
708,263.252
709,264.172
710,264.456
711,264.778
712,265.394
713,265.952
714,266.412
715,266.264
716,267.646
717,267.672
718,267.724
719,268.618
720,269.224
721,269.638
722,270.15
723,270.246
724,271.168
725,271.694
726,271.614
727,272.54
728,272.998
729,272.84
730,273.748
731,273.902
732,274.666
733,274.678
734,275.434
735,276.344
736,276.784
737,276.976
738,277.108
739,278.052
740,277.924
741,278.646
742,279.13
743,279.582
744,280.088
745,280.54
746,280.956
747,281.436
748,281.704
749,282.474
750,283.356
751,282.96
752,283.586
753,283.83
754,284.048
755,285.126
756,285.634
757,285.892
758,286.472
759,287.232
760,287.252
761,287.84
762,288.346
763,289.026
764,289.888
765,289.578
766,290.012
767,290.734
768,291.484
769,291.276
770,291.85
771,292.484
772,292.872
773,293.48
774,293.902
775,294.598
776,294.716
777,295.372
778,295.93
779,295.838
780,296.92
781,297.298
782,297.518
783,297.792
784,298.698
785,299.072
786,299.134
787,299.708
788,300.81
789,300.962
790,301.216
791,301.796
792,302.02
793,302.594
794,303.304
795,304.216
796,304.432
797,304.546
798,305.01
799,305.772
800,306.108
801,306.28
802,306.992
803,307.628
804,307.772
805,308.376
806,308.634
807,309.182
808,309.658
809,310.02
810,310.626
811,311.05
812,311.874
813,311.852
814,312.582
815,313.054
816,313.448
817,313.852
818,314.798
819,314.892
820,315.582
821,316.146
822,316.11
823,316.998
824,317.644
825,317.598
826,318.342
827,318.476
828,319.186
829,319.59
830,319.958
831,320.594
832,321.31
833,321.264
834,321.562
835,322.1
836,322.93
837,323.362
838,323.748
839,324.534
840,324.832
841,324.796
842,325.676
843,326.146
844,326.692
845,327.424
846,327.69
847,327.922
848,327.986
849,328.858
850,329.306
851,330.058
852,330.356
853,330.642
854,331.252
855,331.88
856,332.322
857,333.2
858,333.27
859,333.314
860,333.976
861,334.574
862,335.55
863,335.316
864,336.12
865,336.692
866,336.826
867,337.514
868,338.242
869,338.832
870,339.024
871,339.484
872,340.19
873,340.054
874,340.42
875,341.144
876,341.452
877,342.226
878,342.504
879,343.096
880,343.798
881,343.734
882,344.638
883,345.16
884,345.75
885,346.132
886,346.504
887,346.738
888,347.288
889,348.074
890,348.176
891,348.88
892,348.97
893,349.872
894,349.68
895,350.238
896,351.124
897,351.442
898,351.956
899,352.552
900,353.368
901,353.46
902,353.784
903,354.574
904,354.87
905,355.074
906,355.558
907,356.902
908,356.838
909,357.034
910,358.262
911,358.094
912,358.966
913,358.932
914,359.89
915,360.006
916,360.6
917,360.956
918,361.528
919,362.048
920,362.22
921,363.104
922,363.498
923,363.766
924,364.474
925,364.77
926,365.138
927,366.008
928,366.2
929,367.122
930,367.42
931,367.832
932,368.078
933,368.346
934,368.946
935,369.876
936,370.304
937,370.384
938,371.242
939,371.226
940,372.198
941,372.62
942,373.288
943,372.964
944,373.81
945,374.152
946,375.01
947,375.178
948,375.7
949,376.458
950,376.882
951,377.286
952,377.502
953,378.248
954,378.32
955,379.32
956,379.49
957,380.232
958,380.736
959,380.886
960,381.586
961,382.35
962,382.576
963,382.718
964,383.502
965,383.686
966,384.566
967,384.78
968,385.398
969,385.818
970,386.232
971,386.582
972,387.264
973,387.328
974,388.25
975,389.016
976,389.094
977,390.216
978,389.478
979,390.448
980,391.158
981,391.93
982,391.97
983,392.558
984,393.47
985,393.302
986,393.816
987,394.596
988,394.984
989,395.358
990,395.682
991,396.882
992,396.644
993,397.03
994,397.946
995,398.712
996,398.874
997,398.968
998,399.444
999,400.204
1000,400.542
1001,401.37333333333333
1002,401.72333333333336
1003,401.8333333333333
1004,402.2366666666667
1005,403.70666666666665
1006,403.4166666666667
1007,404.16
1008,404.66333333333336
1009,405.09
1010,405.34
1011,405.69666666666666
1012,405.9033333333333
1013,407.00333333333333
1014,407.6066666666667
1015,407.79333333333335
1016,408.23333333333335
1017,409.05
1018,409.19
1019,409.85
1020,410.3066666666667
1021,410.87666666666667
1022,411.54333333333335
1023,411.02666666666664
1024,411.82666666666665
1025,413.12
1026,413.4066666666667
1027,413.35
1028,413.76
1029,414.8433333333333
1030,414.73333333333335
1031,415.41
1032,415.96666666666664
1033,416.2
1034,416.92
1035,417.99666666666667
1036,418.36333333333334
1037,418.49333333333334
1038,419.2033333333333
1039,419.9633333333333
1040,419.39666666666665
1041,420.1766666666667
1042,420.83666666666664
1043,421.13
1044,422.44666666666666
1045,423.0
1046,422.76666666666665
1047,423.12
1048,423.74666666666667
1049,423.86333333333334
1050,424.58
1051,424.99666666666667
1052,426.00333333333333
1053,426.30333333333334
1054,426.6166666666667
1055,427.45666666666665
1056,426.99666666666667
1057,428.04
1058,428.8666666666667
1059,429.15
1060,429.64
1061,429.91333333333336
1062,430.2366666666667
1063,431.51666666666665
1064,431.3833333333333
1065,432.44666666666666
1066,432.47333333333336
1067,433.1066666666667
1068,433.67
1069,433.55333333333334
1070,434.03333333333336
1071,435.25
1072,435.23
1073,435.5
1074,436.9
1075,436.80333333333334
1076,437.52666666666664
1077,438.06666666666666
1078,438.4766666666667
1079,439.0566666666667
1080,439.21666666666664
1081,439.59
1082,440.0933333333333
1083,440.4533333333333
1084,441.62666666666667
1085,441.36
1086,441.49333333333334
1087,442.53
1088,442.9033333333333
1089,443.3933333333333
1090,444.04
1091,444.82666666666665
1092,445.24
1093,445.6666666666667
1094,446.07666666666665
1095,446.86
1096,447.24666666666667
1097,447.58666666666664
1098,448.12333333333333
1099,448.3233333333333
1100,449.4866666666667
1101,449.33
1102,450.05
1103,450.73
1104,451.02666666666664
1105,451.80333333333334
1106,452.23
1107,452.3433333333333
1108,452.5966666666667
1109,453.7966666666667
1110,454.02
1111,454.2966666666667
1112,454.5833333333333
1113,455.37
1114,455.99333333333334
1115,456.38
1116,456.77
1117,457.02666666666664
1118,458.01666666666665
1119,458.09
1120,459.18
1121,459.25666666666666
1122,459.5233333333333
1123,460.68
1124,460.65
1125,461.81666666666666
1126,461.72333333333336
1127,462.26666666666665
1128,463.22333333333336
1129,462.99
1130,463.87666666666667
1131,464.3233333333333
1132,464.77666666666664
1133,465.28
1134,465.60333333333335
1135,466.25666666666666
1136,466.96
1137,466.66333333333336
1138,467.74333333333334
1139,467.62666666666667
1140,468.3333333333333
