size,omega0
525,107.980171
526,108.2735874
527,108.5671661
528,108.8609068
529,109.1548095
530,109.4488739
531,109.7431
532,110.0374875
533,110.3320363
534,110.6267462
535,110.9216171
536,111.2166489
537,111.5118413
538,111.8071942
539,112.1027074
540,112.3983808
541,112.6942143
542,112.9902076
543,113.2863607
544,113.5826733
545,113.8791453
546,114.1757765
547,114.4725669
548,114.7695161
549,115.0666241
550,115.3638908
551,115.6613159
552,115.9588992
553,116.2566408
554,116.5545402
555,116.8525976
556,117.1508125
557,117.449185
558,117.7477149
559,118.0464019
560,118.3452459
561,118.6442468
562,118.9434045
563,119.2427187
564,119.5421893
565,119.8418161
566,120.1415991
567,120.4415379
568,120.7416325
569,121.0418828
570,121.3422884
571,121.6428494
572,121.9435655
573,122.2444366
574,122.5454626
575,122.8466432
576,123.1479782
577,123.4494677
578,123.7511113
579,124.052909
580,124.3548605
581,124.6569658
582,124.9592246
583,125.2616368
584,125.5642022
585,125.8669208
586,126.1697923
587,126.4728165
588,126.7759934
589,127.0793227
590,127.3828043
591,127.686438
592,127.9902237
593,128.2941613
594,128.5982505
595,128.9024912
596,129.2068833
597,129.5114265
598,129.8161208
599,130.120966
600,130.4259619
601,130.7311083
602,131.0364052
603,131.3418523
604,131.6474495
605,131.9531966
606,132.2590935
607,132.56514
608,132.8713359
609,133.1776812
610,133.4841755
611,133.7908189
612,134.0976111
613,134.404552
614,134.7116413
615,135.0188791
616,135.326265
617,135.6337989
618,135.9414807
619,136.2493103
620,136.5572874
621,136.8654119
622,137.1736836
623,137.4821025
624,137.7906683
625,138.0993808
626,138.40824
627,138.7172456
628,139.0263975
629,139.3356955
630,139.6451396
631,139.9547294
632,140.264465
633,140.574346
634,140.8843724
635,141.194544
636,141.5048606
637,141.8153221
638,142.1259283
639,142.4366791
640,142.7475743
641,143.0586137
642,143.3697972
643,143.6811247
644,143.9925959
645,144.3042108
646,144.6159691
647,144.9278707
648,145.2399154
649,145.5521031
650,145.8644337
651,146.1769069
652,146.4895226
653,146.8022807
654,147.115181
655,147.4282233
656,147.7414075
657,148.0547334
658,148.3682009
659,148.6818098
660,148.9955599
661,149.3094511
662,149.6234833
663,149.9376562
664,150.2519697
665,150.5664238
666,150.8810181
667,151.1957525
668,151.5106269
669,151.8256412
670,152.1407951
671,152.4560886
672,152.7715214
673,153.0870934
674,153.4028044
675,153.7186543
676,154.0346429
677,154.3507701
678,154.6670357
679,154.9834396
680,155.2999815
681,155.6166614
682,155.9334791
683,156.2504343
684,156.5675271
685,156.8847571
686,157.2021243
687,157.5196284
688,157.8372694
689,158.1550471
690,158.4729613
691,158.7910118
692,159.1091985
693,159.4275213
694,159.7459799
695,160.0645743
696,160.3833042
697,160.7021696
698,161.0211702
699,161.3403059
700,161.6595765
701,161.9789819
702,162.2985219
703,162.6181964
704,162.9380052
705,163.2579481
706,163.578025
707,163.8982357
708,164.2185802
709,164.5390581
710,164.8596694
711,165.1804138
712,165.5012914
713,165.8223018
714,166.1434449
715,166.4647206
716,166.7861287
717,167.1076691
718,167.4293415
719,167.7511459
720,168.0730821
721,168.3951499
722,168.7173491
723,169.0396796
724,169.3621413
725,169.684734
726,170.0074575
727,170.3303117
728,170.6532964
729,170.9764115
730,171.2996568
731,171.6230321
732,171.9465372
733,172.2701721
734,172.5939366
735,172.9178305
736,173.2418537
737,173.5660059
738,173.8902871
739,174.214697
740,174.5392356
741,174.8639026
742,175.188698
743,175.5136214
744,175.8386729
745,176.1638522
746,176.4891592
747,176.8145937
748,177.1401556
749,177.4658446
750,177.7916607
751,178.1176037
752,178.4436734
753,178.7698697
754,179.0961924
755,179.4226413
756,179.7492164
757,180.0759174
758,180.4027441
759,180.7296965
760,181.0567743
761,181.3839775
762,181.7113058
763,182.0387591
764,182.3663372
765,182.69404
766,183.0218673
767,183.349819
768,183.6778949
769,184.0060948
770,184.3344186
771,184.6628661
772,184.9914372
773,185.3201317
774,185.6489495
775,185.9778904
776,186.3069542
777,186.6361408
778,186.96545
779,187.2948816
780,187.6244356
781,187.9541118
782,188.2839099
783,188.6138298
784,188.9438715
785,189.2740346
786,189.6043191
787,189.9347249
788,190.2652516
789,190.5958993
790,190.9266676
791,191.2575566
792,191.5885659
793,191.9196956
794,192.2509453
795,192.5823149
796,192.9138044
797,193.2454134
798,193.577142
799,193.9089898
800,194.2409568
801,194.5730428
802,194.9052476
803,195.2375711
804,195.5700131
805,195.9025734
806,196.235252
807,196.5680486
808,196.9009631
809,197.2339954
810,197.5671452
811,197.9004124
812,198.2337969
813,198.5672985
814,198.900917
815,199.2346523
816,199.5685042
817,199.9024726
818,200.2365574
819,200.5707582
820,200.9050751
821,201.2395078
822,201.5740561
823,201.90872
824,202.2434993
825,202.5783937
826,202.9134032
827,203.2485276
828,203.5837667
829,203.9191204
